id,user_id,qual_id,dept_id,hosp_id,
1,2,1,1,1,38
2,3,2,1,2,
3,4,3,1,3,5
4,5,4,1,4,5
5,6,1,1,5,14
6,7,5,1,6,10
7,8,6,1,7,3
8,9,7,1,8,9
9,10,8,1,9,
10,11,9,1,10,2
11,12,10,1,11,15
12,13,11,1,12,6
13,14,12,1,13,8
14,15,1,1,14,7
15,16,13,1,15,28
16,17,14,1,16,17
17,18,15,1,17,45
18,19,16,1,5,35
19,20,17,1,18,22
20,21,18,1,14,29
21,22,19,1,19,6
22,23,20,1,20,17
23,24,21,1,21,30
24,25,22,1,22,27
25,26,23,1,23,30
26,27,24,1,24,9
27,28,25,1,25,33
28,29,26,1,26,8
29,30,12,1,27,3
30,31,27,1,28,17
31,32,28,1,9,8
32,33,29,1,29,11
33,34,30,1,15,6
34,35,31,1,1,17
35,36,32,1,20,18
36,37,1,1,20,17
37,38,33,1,30,33
38,39,34,1,31,18
39,40,35,1,9,
40,41,36,1,11,20
41,42,37,1,17,30
42,43,38,1,32,13
43,44,39,1,33,11
44,45,3,1,3,4
45,46,40,2,34,
46,47,41,1,35,9
47,48,42,1,23,5
48,49,43,1,17,15
49,50,44,1,20,32
50,51,45,1,15,24
51,52,46,1,32,18
52,53,47,1,3,4
53,54,48,1,23,19
54,55,19,1,3,1
55,56,49,1,1,20
56,57,19,1,3,1
57,58,50,1,36,17
58,59,51,1,5,34
59,60,52,1,17,23
60,61,53,1,37,7
61,62,54,1,3,1
62,63,55,1,15,21
63,64,56,1,10,15
64,65,57,1,38,10
65,66,58,1,39,13
66,67,59,1,24,6
67,68,60,1,9,10
68,69,61,1,17,9
69,70,62,1,20,12
70,71,54,1,9,
71,72,63,1,15,29
72,73,64,1,40,
73,74,65,1,3,5
74,75,66,1,5,30
75,76,40,2,34,
76,77,67,1,15,8
77,78,19,1,3,4
78,79,68,1,8,6
79,80,69,1,22,27
80,81,70,1,41,16
81,82,1,1,12,17
82,83,71,1,17,21
83,84,19,1,3,6
84,85,72,1,24,15
85,86,73,1,42,11
86,87,74,1,43,15
87,88,1,1,44,1
88,89,75,1,45,15
89,90,76,1,46,3
90,91,77,1,47,
91,92,78,1,48,3
92,93,79,1,49,3
93,94,80,1,50,27
94,95,81,1,51,3
95,96,4,1,52,5
96,97,82,1,53,10
97,98,6,1,54,3
98,99,83,1,55,20
99,100,84,1,56,4
100,101,85,1,57,28
101,102,10,1,58,15
102,103,1,1,59,7
103,104,86,1,60,25
104,105,87,1,61,12
105,106,88,1,62,9
106,107,89,1,63,6
107,108,80,1,48,8
108,109,90,1,55,17
109,110,91,1,64,4
110,111,33,1,65,43
111,112,92,1,66,11
112,113,36,1,67,20
113,114,40,2,56,
114,115,93,1,68,36
115,116,94,1,55,12
116,117,95,1,69,5
117,118,1,1,52,25
118,119,96,1,44,9
119,120,97,1,54,2
120,121,98,1,44,4
121,122,99,1,70,27
122,123,80,1,71,3
123,124,80,1,48,5
124,125,100,1,61,1
125,126,101,1,50,6
126,127,102,1,72,8
127,128,103,1,48,
128,129,104,1,51,2
129,130,105,1,48,
130,131,106,1,73,6
131,132,107,1,74,3
132,133,47,1,75,4
133,134,80,1,76,3
134,135,108,1,77,7
135,136,40,2,78,
136,137,109,1,53,34
137,138,110,1,67,28
138,139,111,1,79,10
139,140,112,1,47,
140,141,113,1,59,2
141,142,40,2,56,
142,143,114,1,79,
143,144,115,1,55,14
144,145,85,1,75,26
145,146,116,1,80,16
146,147,117,1,77,5
147,148,117,1,81,11
148,149,118,1,62,11
149,150,119,1,82,2
150,151,36,1,83,
151,152,120,1,78,2
152,153,121,1,48,4
153,154,78,1,63,26
154,155,95,1,70,1
155,156,122,1,78,4
156,157,123,1,48,
157,158,36,1,83,
158,159,36,1,47,
159,160,1,1,70,12
160,161,124,1,62,9
161,162,125,1,60,1
162,163,126,1,61,6
163,164,126,1,84,5
164,165,127,1,63,2
165,166,128,1,85,
166,167,54,1,45,2
